 0.00000000e+00  0.00000000e+00  5.50703120e-02  3.69855935e+00  3.69855528e+00  3.29855997e+00  0.00000000e+00 -1.39288289e-29  2.12926428e-07  3.77762228e-07  3.93496906e-02 
 2.00000000e-07  2.00000000e-07  5.50703356e-02  3.69855935e+00  3.69855549e+00  3.29855997e+00  0.00000000e+00 -1.36279764e-29  2.12926386e-07  3.77762228e-07  3.93496906e-02 
 4.00000000e-07  4.00000000e-07  5.50703394e-02  3.69855934e+00  3.69855569e+00  3.29855997e+00  0.00000000e+00  3.82616906e-10  2.12926352e-07  3.77762228e-07  3.93496906e-02 
 8.00000000e-07  8.00000000e-07  5.50703466e-02  3.69855933e+00  3.69855607e+00  3.29855997e+00  0.00000000e+00  1.10090467e-09  2.12926287e-07  3.77762228e-07  3.93496906e-02 
 1.60000000e-06  1.60000000e-06  5.50703587e-02  3.69855932e+00  3.69855669e+00  3.29855997e+00  0.00000000e+00  2.28846379e-09  2.12926180e-07  3.77762228e-07  3.93496906e-02 
 3.20000000e-06  3.20000000e-06  5.50703758e-02  3.69855930e+00  3.69855757e+00  3.29855997e+00  0.00000000e+00  3.89818573e-09  2.12926032e-07  3.77762228e-07  3.93496906e-02 
 6.40000000e-06  6.40000000e-06  5.50703929e-02  3.69855928e+00  3.69855845e+00  3.29855997e+00  0.00000000e+00  5.20698456e-09  2.12925888e-07  3.77762228e-07  3.93496906e-02 
 1.28000000e-05  1.28000000e-05  5.50703984e-02  3.69855928e+00  3.69855890e+00  3.29855997e+00  0.00000000e+00  4.65878718e-09  2.12925828e-07  3.77762228e-07  3.93496906e-02 
 2.56000000e-05  2.56000000e-05  5.50703855e-02  3.69855928e+00  3.69855890e+00  3.29855997e+00  0.00000000e+00  1.42797060e-09  2.12925863e-07  3.77762228e-07  3.93496907e-02 
 4.56000000e-05  4.56000000e-05  5.50703648e-02  3.69855928e+00  3.69855891e+00  3.29855997e+00  0.00000000e+00 -1.72921929e-09  2.12925918e-07  3.77762228e-07  3.93496907e-02 
 6.56000000e-05  6.56000000e-05  5.50703500e-02  3.69855929e+00  3.69855891e+00  3.29855997e+00  0.00000000e+00 -2.62528347e-09  2.12925972e-07  3.77762228e-07  3.93496907e-02 
 8.56000000e-05  8.56000000e-05  5.50703393e-02  3.69855929e+00  3.69855892e+00  3.29855997e+00  0.00000000e+00 -2.53976582e-09  2.12926024e-07  3.77762228e-07  3.93496908e-02 
 1.05600000e-04  1.05600000e-04  5.50703316e-02  3.69855930e+00  3.69855892e+00  3.29855997e+00  0.00000000e+00 -2.10223458e-09  2.12926073e-07  3.77762228e-07  3.93496908e-02 
 1.25600000e-04  1.25600000e-04  5.50703261e-02  3.69855930e+00  3.69855893e+00  3.29855997e+00  0.00000000e+00 -1.63659251e-09  2.12926117e-07  3.77762228e-07  3.93496908e-02 
 1.45600000e-04  1.45600000e-04  5.50703221e-02  3.69855931e+00  3.69855893e+00  3.29855997e+00  0.00000000e+00 -1.18011191e-09  2.12926157e-07  3.77762228e-07  3.93496908e-02 
 1.65600000e-04  1.65600000e-04  5.50703193e-02  3.69855931e+00  3.69855893e+00  3.29855997e+00  0.00000000e+00 -7.84355199e-10  2.12926196e-07  3.77762228e-07  3.93496908e-02 
 1.85600000e-04  1.85600000e-04  5.50703172e-02  3.69855931e+00  3.69855894e+00  3.29855997e+00  0.00000000e+00 -5.10880978e-10  2.12926230e-07  3.77762228e-07  3.93496908e-02 
