 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603109e-07 -1.05010311e-06 
 2.00000000e-07  2.00000000e-07  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603111e-07 -1.05010311e-06 
 4.00000000e-07  4.00000000e-07  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603111e-07 -1.05010311e-06 
 8.00000000e-07  8.00000000e-07  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603114e-07 -1.05010311e-06 
 1.60000000e-06  1.60000000e-06  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603114e-07 -1.05010311e-06 
 3.20000000e-06  3.20000000e-06  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603114e-07 -1.05010311e-06 
 6.40000000e-06  6.40000000e-06  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603116e-07 -1.05010311e-06 
 1.28000000e-05  1.28000000e-05  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603114e-07 -1.05010311e-06 
 2.56000000e-05  2.56000000e-05  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603114e-07 -1.05010311e-06 
 4.56000000e-05  4.56000000e-05  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603119e-07 -1.05010311e-06 
 6.56000000e-05  6.56000000e-05  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 8.56000000e-05  8.56000000e-05  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 1.05600000e-04  1.05600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 1.25600000e-04  1.25600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 1.45600000e-04  1.45600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 1.65600000e-04  1.65600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 1.85600000e-04  1.85600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 2.05600000e-04  2.05600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 2.25600000e-04  2.25600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 2.45600000e-04  2.45600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 2.65600000e-04  2.65600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 2.85600000e-04  2.85600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 3.05600000e-04  3.05600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 3.25600000e-04  3.25600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 3.45600000e-04  3.45600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 3.65600000e-04  3.65600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
 3.85600000e-04  3.85600000e-04  0.00000000e+00  3.75000017e+00  4.90000000e+00  9.62603121e-07 -1.05010311e-06 
